MDRPY,MDRACTL,MDRCSNT,MDRFINAL,MDRRND,MDRVWL,MDRNSL,MDNLQDR,MDRTN,CTNPY,CTNACTL,CTNCSNT,CTNFINAL,CTNRND,CTNVWL,CTNNSL,CTNSTP,CTNTN,CHAR,FRQ,CMT
huan,hwan,h,wan,w,a,n,/,4,wun,wun,w,un,w,u,n,/,6,换,1,
huan,hwan,h,wan,w,a,n,/,4,waan,waan,w,aan,w,aa,n,/,6,幻,2,
huang,hwang,h,wang,w,a,ng,/,1,fong,fong,f,ong,/,o,ng,/,1,慌,1,
huang,hwang,h,wang,w,a,ng,/,2,wong,wong,w,ong,/,o,ng,/,4,黄,1,
huang,hwang,h,wang,w,a,ng,/,3,fong,fong,f,ong,/,o,ng,/,2,谎,2,
huang,hwang,h,wang,w,a,ng,/,4,fong,fong,f,ong,/,o,ng,/,2,晃,3,
hui,hwei,h,wei,w,ei,/,/,1,fui,fui,f,ui,/,ui,/,/,1,灰,1,
hui,hwei,h,wei,w,ei,/,/,1,fai,fai,f,ai,/,ai,/,/,1,辉,2,
hui,hwei,h,wei,w,ei,/,/,2,wui,wui,w,ui,w,ui,/,/,4,回,1,
hui,hwei,h,wei,w,ei,/,/,3,wai,wai,w,ai,w,ai,/,/,2,毁,2,
hui,hwei,h,wei,w,ei,/,/,3,fui,fui,f,ui,/,ui,/,/,3,悔,2,
hui,hwei,h,wei,w,ei,/,/,4,wui,wui,w,ui,w,ui,/,/,6,会,1,
hui,hwei,h,wei,w,ei,/,/,4,wai,wai,w,ai,w,ai,/,/,6,惠,2,
hui,hwei,h,wei,w,ei,/,/,4,kui,kui,k,ui,/,ui,/,/,2,绘,2,
hun,hwen,h,wen,w,en,n,/,1,fan,fan,f,an,/,a,n,/,1,婚,1,
hun,hwen,h,wen,w,en,n,/,2,wan,wan,w,an,w,a,n,/,4,魂,1,
hun,hwen,h,wen,w,en,n,/,3,wan,wan,w,an,w,a,n,/,4,浑,2,
hun,hwen,h,wen,w,en,n,/,4,wan,wan,w,an,w,a,n,/,6,混,1,
huo,hwo,h,wo,w,o,/,/,2,wut,wut,w,ut,w,u,/,t,6,活,1,
huo,hwo,h,wo,w,o,/,/,3,fo,fo,f,o,/,o,/,/,2,火,1,
huo,hwo,h,wo,w,o,/,/,4,waat,waat,w,aat,w,aa,/,t,6,或,1,
huo,hwo,h,wo,w,o,/,/,4,fo,fo,f,o,/,o,/,/,3,货,1,
huo,hwo,h,wo,w,o,/,/,4,wot,wot,w,ot,w,o,/,t,6,获,1,
huo,hwo,h,wo,w,o,/,/,4,fot,fot,f,o,/,o,/,t,3,霍,3,
huo,hwo,h,wo,w,o,/,/,4,wo,wo,w,o,w,o,/,/,6,祸,2,
huo,hwo,h,wo,w,o,/,/,4,kut,kut,k,ut,/,u,/,t,3,豁,2,
ji,ji,j,i,/,i,/,/,1,gai,gai,g,ai,/,ai,/,/,1,鸡,1,
ji,ji,j,i,/,i,/,/,1,gei,gei,g,ei,/,ei,/,/,1,机,1,
ji,ji,j,i,/,i,/,/,1,zik,zik,z,ik,/,i,/,k,1,积,1,
ji,ji,j,i,/,i,/,/,1,git,git,g,it,/,i,/,t,1,击,1,
ji,ji,j,i,/,i,/,/,2,zap,zap,z,ap,/,a,/,p,6,集,1,
ji,ji,j,i,/,i,/,/,2,kap,kap,k,ap,/,a,/,p,1,级,1,
ji,ji,j,i,/,i,/,/,2,kap,kap,k,ap,/,a,/,p,6,及,1,
ji,ji,j,i,/,i,/,/,2,zik,zik,z,ik,/,i,/,k,1,即,1,
ji,ji,j,i,/,i,/,/,2,gik,gik,g,ik,/,i,/,k,6,极,1,
ji,ji,j,i,/,i,/,/,2,gap,gap,g,ap,/,a,/,p,1,急,1,
ji,ji,j,i,/,i,/,/,2,gat,gat,g,at,/,a,/,t,1,吉,1,
ji,ji,j,i,/,i,/,/,2,zik,zik,z,ik,/,i,/,k,6,籍,1,
ji,ji,j,i,/,i,/,/,2,cap,cap,c,ap,/,a,/,p,1,辑,2,
ji,ji,j,i,/,i,/,/,2,zat,zat,z,at,/,a,/,t,6,疾,2,
ji,ji,j,i,/,i,/,/,2,gik,gik,g,ik,/,i,/,k,1,棘,2,
ji,ji,j,i,/,i,/,/,3,gei,gei,g,ei,/,ei,/,/,2,几,1,
ji,ji,j,i,/,i,/,/,3,zai,zai,z,ai,/,ai,/,/,1,挤,2,
ji,ji,j,i,/,i,/,/,3,gik,gik,g,ik,/,i,/,k,1,戟,2,
ji,ji,j,i,/,i,/,/,4,zai,zai,z,ai,/,ai,/,/,3,济,1,
ji,ji,j,i,/,i,/,/,4,gei,gei,g,ei,/,ei,/,/,3,记,1,
ji,ji,j,i,/,i,/,/,4,gwai,gwai,g,wai,w,ai,/,/,3,季,1,
ji,ji,j,i,/,i,/,/,4,gai,gai,g,ai,/,ai,/,/,3,继,1,
ji,ji,j,i,/,i,/,/,4,gei,gei,g,ei,/,ei,/,/,6,忌,2,
ji,ji,j,i,/,i,/,/,4,zai,zai,z,ai,/,ai,/,/,1,剂,1,
ji,ji,j,i,/,i,/,/,4,zik,zik,z,ik,/,i,/,k,6,寂,1,
ji,ji,j,i,/,i,/,/,4,gei,gei,g,ei,/,ei,/,/,2,纪,2,
jia,jia,j,ia,/,ia,/,/,1,gaa,gaa,g,aa,/,aa,/,/,1,家,1,
jia,jia,j,ia,/,ia,/,/,1,gaai,gaai,g,aai,/,aai,/,/,1,佳,2,
jia,jia,j,ia,/,ia,/,/,2,gaap,gaap,g,aap,/,aa,/,p,3,夹,1,
jia,jia,j,ia,/,ia,/,/,3,gaa,gaa,g,aa,/,aa,/,/,2,假,1,
jia,jia,j,ia,/,ia,/,/,3,gaap,gaap,g,aap,/,aa,/,p,3,甲,1,
jia,jia,j,ia,/,ia,/,/,4,gaa,gaa,g,aa,/,aa,/,/,3,价,1,
jian,jian,j,ian,/,ia,n,/,1,zin,zin,z,in,/,i,n,/,1,煎,1,
jian,jian,j,ian,/,ia,n,/,1,gim,gim,g,im,/,i,m,/,1,兼,1,
jian,jian,j,ian,/,ia,n,/,1,gaan,gaan,g,aan,/,aa,n,/,1,间,1,房间
jian,jian,j,ian,/,ia,n,/,1,zim,zim,z,im,/,i,m,/,1,尖,1,
jian,jian,j,ian,/,ia,n,/,1,gin,gin,g,in,/,i,n,/,1,坚,1,
jian,jian,j,ian,/,ia,n,/,1,gaam,gaam,g,aam,/,aa,m,/,1,监,2,
jian,jian,j,ian,/,ia,n,/,3,zin,zin,z,in,/,i,n,/,2,剪,1,
jian,jian,j,ian,/,ia,n,/,3,gaam,gaam,g,aam,/,aa,m,/,2,减,1,
jian,jian,j,ian,/,ia,n,/,3,gaan,gaan,g,aan,/,aa,n,/,2,简,1,
jian,jian,j,ian,/,ia,n,/,4,gin,gin,g,in,/,i,n,/,3,建,1,
jian,jian,j,ian,/,ia,n,/,4,gin,gin,g,in,/,i,n,/,6,件,1,
jian,jian,j,ian,/,ia,n,/,4,gim,gim,g,im,/,i,m,/,3,剑,2,
jian,jian,j,ian,/,ia,n,/,4,gaan,gaan,g,aan,/,aa,n,/,3,间,1,间隔
jiang,jiang,j,ian,/,ia,ng,/,1,zoeng,zoeng,z,oeng,/,oe,ng,/,1,将,1,
jiang,jiang,j,ian,/,ia,ng,/,1,gong,gong,g,ong,/,o,ng,/,1,江,1,
jiang,jiang,j,ian,/,ia,ng,/,1,goeng,goeng,g,oeng,/,oe,ng,/,1,姜,2,
jiang,jiang,j,ian,/,ia,ng,/,3,gong,gong,g,ong,/,o,ng,/,2,讲,1,
jiang,jiang,j,ian,/,ia,ng,/,3,zoeng,zoeng,z,oeng,/,oe,ng,/,2,桨,1,
jiang,jiang,j,ian,/,ia,ng,/,4,zoeng,zoeng,z,oeng,/,oe,ng,/,3,酱,1,
jiang,jiang,j,ian,/,ia,ng,/,4,gong,gong,g,ong,/,o,ng,/,3,降,1,
jiong,jiong,j,iong,/,io,ng,/,3,gwing,gwing,g,wing,w,i,ng,/,2,炯,3,
ju,jyu,j,yu,/,yu,/,/,1,geoi,geoi,g,eoi,/,eoi,/,/,1,居,1,
ju,jyu,j,yu,/,yu,/,/,1,zeoi,zeoi,z,eoi,/,eoi,/,/,1,狙,3,
ju,jyu,j,yu,/,yu,/,/,2,guk,guk,g,uk,/,u,/,k,6,局,1,
ju,jyu,j,yu,/,yu,/,/,2,guk,guk,g,uk,/,u,/,k,1,菊,1,
ju,jyu,j,yu,/,yu,/,/,2,gat,gat,g,at,/,a,/,t,1,桔,2,
ju,jyu,j,yu,/,yu,/,/,3,geoi,geoi,g,eoi,/,eoi,/,/,2,举,1,
ju,jyu,j,yu,/,yu,/,/,3,zeoi,zeoi,z,eoi,/,eoi,/,/,2,咀,1,
ju,jyu,j,yu,/,yu,/,/,4,keoi,keoi,k,eoi,/,eoi,/,/,5,拒,1,
ju,jyu,j,yu,/,yu,/,/,4,geoi,geoi,g,eoi,/,eoi,/,/,6,巨,1,
ju,jyu,j,yu,/,yu,/,/,4,geoi,geoi,g,eoi,/,eoi,/,/,3,据,1,
ju,jyu,j,yu,/,yu,/,/,4,kek,kek,k,ek,/,e,/,k,6,剧,2,
juan,jyuan,j,yuan,/,yua,n,/,1,gyun,gyun,g,yun,/,yu,n,/,1,捐,1,
juan,jyuan,j,yuan,/,yua,n,/,1,gyun,gyun,g,yun,/,yu,n,/,2,卷,1,
juan,jyuan,j,yuan,/,yua,n,/,1,gyun,gyun,g,yun,/,yu,n,/,6,倦,1,
jue,jyue,j,yue,/,yue,/,/,2,gok,gok,g,ok,/,o,/,k,3,觉,1,
jue,jyue,j,yue,/,yue,/,/,2,zyut,zyut,z,yut,/,yu,/,t,6,绝,1,
jue,jyue,j,yue,/,yue,/,/,2,kyut,kyut,k,yut,/,yu,/,t,3,决,1,
jue,jyue,j,yue,/,yue,/,/,2,zoek,zoek,z,oek,/,oe,/,k,3,爵,2,
jue,jyue,j,yue,/,yue,/,/,2,gwat,gwat,g,wat,w,a,/,t,6,掘,2,
jun,jyun,j,yun,/,yu,n,/,1,gwan,gwan,g,wan,w,a,n,/,1,军,1,
jun,jyun,j,yun,/,yu,n,/,1,kwan,kwan,k,wan,w,a,n,/,2,菌,2,
jun,jyun,j,yun,/,yu,n,/,1,zeon,zeon,z,eon,/,eoi,n,/,3,俊,2,
jun,jyun,j,yun,/,yu,n,/,1,gwan,gwan,g,wan,w,a,n,/,6,郡,2,
ka,ka,k,a,/,a,/,/,1,gaa,gaa,g,aa,/,aa,/,/,3,咖,1,
ka,ka,k,a,/,a,/,/,1,kaak,kaak,k,aak,/,aa,/,k,3,喀,3,
ka,ka,k,a,/,a,/,/,3,kaa,kaak,k,aa,/,aa,/,/,1,卡,1,
kai,kai,k,ai,/,ai,/,/,1,hoi,hoi,h,oi,/,oi,/,/,1,开,1,
kai,kai,k,ai,/,ai,/,/,3,ngoi,ngoi,ng,oi,/,oi,/,/,2,凯,2,
kai,kai,k,ai,/,ai,/,/,3,kaai,kaai,k,aai,/,aai,/,/,2,楷,2,
kai,kai,k,ai,/,ai,/,/,3,hoi,hoi,h,oi,/,oi,/,/,2,铠,2,
kai,kai,k,ai,/,ai,/,/,3,koi,koi,k,oi,/,oi,/,/,3,慨,2,
kai,kai,k,ai,/,ai,/,/,4,koi,koi,k,oi,/,oi,/,/,3,忾,3,
kan,kan,k,an,/,a,n,/,1,hon,hon,h,on,/,o,n,/,1,刊,2,
kan,kan,k,an,/,a,n,/,1,ham,ham,h,am,/,a,m,/,1,堪,2,
kan,kan,k,an,/,a,n,/,1,ham,ham,h,am,/,a,m,/,3,勘,3,
kan,kan,k,an,/,a,n,/,1,hon,hon,h,on,/,o,n,/,1,看,1,看守
kan,kan,k,an,/,a,n,/,3,laam,laam,l,aam,/,aa,m,/,6,槛,2,
kan,kan,k,an,/,a,n,/,3,ham,ham,h,am,/,a,m,/,2,坎,3,
kan,kan,k,an,/,a,n,/,3,hon,hon,h,on,/,o,n,/,2,侃,3,
kan,kan,k,an,/,a,n,/,4,hon,hon,h,on,/,o,n,/,3,看,2,看见
kang,kang,k,ang,/,a,ng,/,1,hong,hong,h,ong,/,o,ng,/,1,康,1,
kang,kang,k,ang,/,a,ng,/,4,kong,kong,k,ong,/,o,ng,/,3,抗,1,
kao,kau,k,au,/,au,/,/,3,haau,haau,h,aau,/,aau,/,/,2,考,1,
kao,kau,k,au,/,au,/,/,4,kaau,kaau,k,aau,/,aau,/,/,3,靠,1,
ke,ke,k,e,/,e,/,/,1,fo,fo,f,o,/,o,/,/,1,科,1,
ke,ke,k,e,/,e,/,/,1,po,po,p,o,/,o,/,/,1,棵,2,
ke,ke,k,e,/,e,/,/,1,ngo,ngo,ng,o,/,o,/,/,1,柯,3,
ke,ke,k,e,/,e,/,/,2,hok,hok,h,ok,/,o,/,k,3,壳,2,
ke,ke,k,e,/,e,/,/,3,ho,ho,h,o,/,o,/,/,2,可,1,
ke,ke,k,e,/,e,/,/,3,hot,hot,h,ot,/,o,/,t,3,渴,1,
ke,ke,k,e,/,e,/,/,4,fo,fo,f,o,/,o,/,/,3,课,1,
ke,ke,k,e,/,e,/,/,4,haak,haak,h,aak,/,aa,/,k,1,克,2,
ke,ke,k,e,/,e,/,/,4,haak,haak,h,aak,/,aa,/,k,3,客,1,
ken,ken,k,en,/,e,n,/,3,hang,hang,h,ang,/,a,ng,/,2,肯,1,
keng,keng,k,eng,/,e,ng,/,1,haang,haang,h,aang,/,aa,ng,/,1,坑,1,
keng,keng,k,eng,/,e,ng,/,1,hang,hang,h,ang,/,a,ng,/,1,铿,3,
kong,kung,k,kung,/,u,ng,/,1,hung,hung,h,ung,/,u,ng,/,1,空,1,
kong,kung,k,kung,/,u,ng,/,3,hung,hung,h,ung,/,u,ng,/,2,孔,1,
kong,kung,k,kung,/,u,ng,/,4,hung,hung,h,ung,/,u,ng,/,3,控,1,
ku,ku,k,u,/,u,/,/,1,huk,huk,h,uk,/,u,/,k,1,哭,1,
ku,ku,k,u,/,u,/,/,1,fu,fu,f,u,/,u,/,/,1,枯,2,
ku,ku,k,u,/,u,/,/,3,fu,fu,f,u,/,u,/,/,2,苦,1,
ku,ku,k,u,/,u,/,/,4,fu,fu,f,u,/,u,/,/,3,裤,1,
ku,ku,k,u,/,u,/,/,4,huk,huk,h,uk,/,u,/,k,6,酷,2,
kua,kwa,k,wa,w,a,/,/,1,kwaa,kwaa,k,waa,w,aa,/,/,1,夸,1,
kua,kwa,k,wa,w,a,/,/,3,kwaa,kwaa,k,waa,w,aa,/,/,1,垮,2,
kua,kwa,k,wa,w,a,/,/,4,kwaa,kwaa,k,waa,w,aa,/,/,3,胯,3,
kuai,kwai,k,wai,w,ai,/,/,4,faai,faai,f,aai,/,aai,/,/,3,快,1,
kuan,kwan,k,wan,w,a,n,/,1,fun,fun,f,un,/,u,n,/,1,宽,1,
kuan,kwan,k,wan,w,a,n,/,3,fun,fun,f,un,/,u,n,/,2,款,1,
kuang,kwang,k,wang,w,a,ng,/,1,kwaang,kwaang,k,waang,w,aa,ng,/,1,框,1,
kuang,kwang,k,wang,w,a,ng,/,2,kwong,kwong,k,wong,w,o,ng,/,4,狂,1,
kuang,kwang,k,wang,w,a,ng,/,4,kwong,kwong,k,wong,w,o,ng,/,3,矿,1,
kui,kwei,k,wei,w,ei,/,/,1,kwai,kwai,k,wai,w,ai,/,/,1,亏,1,
kui,kwei,k,wei,w,ei,/,/,2,kwai,kwai,k,wai,w,ai,/,/,4,葵,1,
kui,kwei,k,wei,w,ei,/,/,4,kui,kui,k,ui,/,ui,/,/,2,溃,1,
kui,kwei,k,wei,w,ei,/,/,4,kwai,kwai,k,wai,w,ai,/,/,5,愧,2,
kuo,kwo,k,wo,w,o,/,/,4,fut,fut,f,ut,/,u,/,t,3,阔,2,
kuo,kwo,k,wo,w,o,/,/,4,kwok,kwok,k,wok,w,o,/,k,3,扩,2,
kuo,kwo,k,wo,w,o,/,/,4,kut,kut,k,ut,/,u,/,t,3,括,2,
la,la,l,a,/,a,/,/,1,laai,laai,l,aai,/,aai,/,/,1,拉,1,
la,la,l,a,/,a,/,/,4,laak,laak,l,aak,/,aa,/,k,6,辣,2,
la,la,l,a,/,a,/,/,4,laap,laap,l,aap,/,aa,/,p,6,蜡,2,
lai,lai,l,ai,/,ai,/,/,2,loi,loi,l,oi,/,oi,/,/,4,来,1,
lai,lai,l,ai,/,ai,/,/,4,laai,laai,l,aai,/,aai,/,/,6,赖,1,
lai,lai,l,ai,/,ai,/,/,4,loi,loi,l,oi,/,oi,/,/,6,睐,2,
lan,lan,l,an,/,a,n,/,2,laam,laam,l,aam,/,aa,m,/,4,蓝,1,
lan,lan,l,an,/,a,n,/,2,laan,laan,l,aan,/,aa,n,/,4,兰,1,
lan,lan,l,an,/,a,n,/,3,laan,laan,l,aan,/,aa,n,/,5,懒,1,
lan,lan,l,an,/,a,n,/,3,laam,laam,l,aam,/,aa,m,/,5,览,1,
lan,lan,l,an,/,a,n,/,4,laan,laan,l,aan,/,aa,n,/,6,烂,1,
lan,lan,l,an,/,a,n,/,4,laam,laam,l,aam,/,aa,m,/,6,滥,1,
lang,lang,l,ang,/,a,ng,/,2,long,long,l,ong,/,o,ng,/,4,狼,1,
lang,lang,l,ang,/,a,ng,/,3,long,long,l,ong,/,o,ng,/,5,朗,2,
lang,lang,l,ang,/,a,ng,/,4,long,long,l,ong,/,o,ng,/,6,浪,1,
lao,lau,l,au,/,au,/,/,1,laau,laau,l,aau,/,aau,/,/,1,捞,1,
lao,lau,l,au,/,au,/,/,2,lou,lou,l,ou,/,ou,/,/,4,劳,1,
lao,lau,l,au,/,au,/,/,3,lou,lou,l,ou,/,ou,/,/,5,老,1,
lao,lau,l,au,/,au,/,/,3,lou,lou,l,ou,/,ou,/,/,2,佬,1,
lao,lau,l,au,/,au,/,/,4,lou,lou,l,ou,/,ou,/,/,6,涝,3,
lao,lau,l,au,/,au,/,/,4,lok,lok,l,ok,/,o,/,k,3,酪,2,
le,le,l,e,/,e,/,/,4,lok,lok,l,ok,/,o,/,k,6,乐,1,
le,le,l,e,/,e,/,/,4,lak,lak,l,ak,/,a,/,k,6,勒,2,
lei,lei,l,ei,/,ei,/,/,2,leoi,leoi,l,eoi,/,eoi,/,/,4,雷,1,
lei,lei,l,ei,/,ei,/,/,1,leoi,leoi,l,eoi,/,eoi,/,/,6,累,2,累计
lei,lei,l,ei,/,ei,/,/,3,leoi,leoi,l,eoi,/,eoi,/,/,5,垒,2,
lei,lei,l,ei,/,ei,/,/,4,leoi,leoi,l,eoi,/,eoi,/,/,6,类,1,
lei,lei,l,ei,/,ei,/,/,4,lak,lak,l,ak,/,a,/,k,6,肋,2,
leng,leng,l,eng,/,e,ng,/,2,ling,ling,l,ing,/,i,ng,/,4,棱,2,
leng,leng,l,eng,/,e,ng,/,3,laang,laang,l,aang,/,aa,ng,/,5,冷,1,
leng,leng,l,eng,/,e,ng,/,4,ling,ling,l,ing,/,i,ng,/,6,愣,3,
li,li,l,i,/,i,/,/,2,lei,lei,l,ei,/,ei,/,/,4,离,1,
li,li,l,i,/,i,/,/,2,lei,lei,l,ei,/,ei,/,/,4,梨,2,
li,li,l,i,/,i,/,/,3,leoi,leoi,l,eoi,/,eoi,/,/,5,里,1,
li,li,l,i,/,i,/,/,3,lei,lei,l,ei,/,ei,/,/,5,理,1,
li,li,l,i,/,i,/,/,3,lai,lai,l,ai,/,ai,/,/,5,礼,1,
li,li,l,i,/,i,/,/,4,lik,lik,l,ik,/,i,/,k,6,力,1,
li,li,l,i,/,i,/,/,4,lei,lei,l,ei,/,ei,/,/,6,利,1,
li,li,l,i,/,i,/,/,4,laap,laap,l,aap,/,aa,/,p,6,立,1,
li,li,l,i,/,i,/,/,4,lap,lap,l,ap,/,a,/,p,1,粒,2,
li,li,l,i,/,i,/,/,4,lai,lai,l,ai,/,ai,/,/,6,例,1,
li,li,l,i,/,i,/,/,4,leot,leot,l,eot,/,eo,/,t,6,栗,2,
lian,lian,l,ian,/,ia,n,/,2,lin,lin,l,in,/,i,n,/,4,连,1,
lian,lian,l,ian,/,ia,n,/,2,lyun,lyun,l,yun,/,yu,n,/,4,联,1,
lian,lian,l,ian,/,ia,n,/,2,lim,lim,l,im,/,i,m,/,4,帘,1,
lian,lian,l,ian,/,ia,n,/,3,lim,lim,l,im,/,i,m,/,5,脸,2,
lian,lian,l,ian,/,ia,n,/,4,lin,lin,l,in,/,i,n,/,6,练,1,
lian,lian,l,ian,/,ia,n,/,4,lyun,lyun,l,yun,/,yu,n,/,2,恋,2,
liang,liang,l,iang,/,ia,ng,/,2,loeng,loeng,l,oeng,/,oe,ng,/,4,良,1,
liang,liang,l,iang,/,ia,ng,/,3,loeng,loeng,l,oeng,/,oe,ng,/,5,两,1,
liang,liang,l,iang,/,ia,ng,/,4,loeng,loeng,l,oeng,/,oe,ng,/,6,亮,1,
liang,liang,l,iang,/,ia,ng,/,4,leng,leng,l,eng,/,e,ng,/,3,靓,1,
long,lung,l,ung,/,u,ng,/,1,lung,lung,l,ung,/,u,ng,/,4,龙,1,
long,lung,l,ung,/,u,ng,/,1,lung,lung,l,ung,/,u,ng,/,5,笼,1,笼罩
lu,lu,l,u,/,u,/,/,2,lou,lou,l,ou,/,ou,/,/,4,卢,2,
lu,lu,l,u,/,u,/,/,3,lou,lou,l,ou,/,ou,/,/,5,鲁,2,
lu,lu,l,u,/,u,/,/,4,lou,lou,l,ou,/,ou,/,/,6,路,1,
lu,lu,l,u,/,u,/,/,4,luk,luk,l,uk,/,u,/,k,6,录,1,
luan,lwan,l,wan,w,an,/,/,2,lyun,lyun,l,yun,/,yu,n,/,4,峦,3,
luan,lwan,l,wan,w,an,/,/,3,leon,leon,l,eon,/,eo,n,/,2,卵,2,
luan,lwan,l,wan,w,an,/,/,4,lyun,lyun,l,yun,/,yu,n,/,6,乱,1,
lue,lyue,l,yue,/,yue,/,/,4,loek,loek,l,oek,/,oe,/,k,6,略,1,
lun,lwen,l,wen,w,en,/,/,2,leon,leon,l,eon,/,eo,n,/,4,轮,,
lun,lwen,l,wen,w,en,/,/,4,leon,leon,l,eon,/,eo,n,/,6,论,,
luo,lwo,l,wo,w,o,/,/,2,lo,lo,l,o,/,o,/,/,4,罗,,
luo,lwo,l,wo,w,o,/,/,3,lo,lo,l,o,/,o,/,/,2,裸,,
luo,lwo,l,wo,w,o,/,/,4,lok,lok,l,ok,/,o,/,k,6,落,,